NAME,STATE,STATUS,CPU,MEMORY,MEMORYSIZE,CPUCOUNT,NICCOUNT,UPTIME,LASTTIMEEXITEDSTANDBY,ALARMACTIONS,VSPHEREHASTATE
esxdzPS117,Connected,Normal,0%,5%,262109.80 MB,2,6,14 days,Never,Enabled,Connected (Slave)
esxdzPS118,Connected,Normal,11%,63%,262109.80 MB,2,6,14 days,Never,Enabled,Running (Master)
esxdzPS119,Connected,Normal,5%,38%,262109.80 MB,2,6,14 days,Never,Enabled,Running (Master)
esxdzPSP19,Connected,Normal,0%,1%,262109.80 MB,2,6,14 days,Never,Enabled,Connected (Slave)
esxPOOLAPS111,Connected,Normal,12%,61%,147445.70 MB,2,8,234 days,Never,Enabled,Connected (Slave)
esxPOOLAPS112,Connected,Normal,17%,61%,147445.70 MB,2,8,238 days,Never,Enabled,Connected (Slave)
esxPOOLAPS113,Connected,Normal,34%,67%,147445.70 MB,2,8,237 days,Never,Enabled,Connected (Slave)
esxPOOLAPS114,Connected,Normal,14%,55%,147445.70 MB,2,8,233 days,Never,Enabled,Connected (Slave)
esxPOOLAPS115,Connected,Normal,14%,69%,147445.70 MB,2,8,237 days,Never,Enabled,Connected (Slave)
esxPOOLAPS116,Connected,Normal,15%,65%,196597.70 MB,2,8,237 days,Never,Enabled,Connected (Slave)
esxPOOLAPS117,Connected,Normal,27%,73%,196597.70 MB,2,8,234 days,Never,Enabled,Connected (Slave)
esxPOOLAPS118,Connected,Normal,36%,73%,196597.70 MB,2,8,233 days,Never,Enabled,Connected (Slave)
esxPOOLAPS119,Connected,Normal,18%,52%,147445.70 MB,2,8,233 days,Never,Enabled,Running (Master)
esxPOOLAPSP19,Connected,Normal,15%,70%,196597.70 MB,2,8,237 days,Never,Enabled,Connected (Slave)
esxPOOLAPSP11,Connected,Normal,15%,64%,196597.70 MB,2,8,236 days,Never,Enabled,Running (Master)
esxPOOLAPSP12,Connected,Normal,17%,70%,196597.70 MB,2,8,236 days,Never,Enabled,Connected (Slave)
esxPOOLAPSP13,Connected,Normal,24%,70%,196597.70 MB,2,8,233 days,Never,Enabled,Connected (Slave)
esxPOOLAPSP14,Connected,Normal,44%,69%,196597.70 MB,2,8,233 days,Never,Enabled,Connected (Slave)
esxPOOLAPSP15,Connected,Normal,39%,70%,196597.70 MB,2,8,233 days,Never,Enabled,Connected (Slave)
esxPOOLAPSP16,Connected,Normal,29%,70%,196597.70 MB,2,8,233 days,Never,Enabled,Connected (Slave)
esxPOOLAPSP17,Connected,Normal,21%,66%,196597.70 MB,2,8,232 days,Never,Enabled,Connected (Slave)
esxPOOLAPSP18,Connected,Normal,16%,74%,196597.70 MB,2,8,236 days,Never,Enabled,Connected (Slave)
esxPOOLAPSP19,Connected,Normal,17%,71%,147445.70 MB,2,8,237 days,Never,Enabled,Connected (Slave)
esxPOOLAPSP20,Connected,Normal,27%,94%,147445.70 MB,2,8,236 days,Never,Enabled,Running (Master)
esxPOOLAPSP21,Connected,Normal,48%,67%,147445.70 MB,2,8,236 days,Never,Enabled,Connected (Slave)
esxPOOLAPSP22,Connected,Normal,28%,75%,262109.80 MB,2,8,142 days,Never,Enabled,Connected (Slave)
esxPOOLAPSP23,Connected,Normal,26%,70%,262109.80 MB,2,8,142 days,Never,Enabled,Running (Master)
esxPOOLAPSP24,Connected,Normal,41%,70%,262109.80 MB,2,8,142 days,Never,Enabled,Connected (Slave)
esxPOOLAPSP25,Connected,Normal,22%,81%,262109.80 MB,2,8,142 days,Never,Enabled,Connected (Slave)
esxPOOLAPSP26,Connected,Normal,35%,79%,262109.80 MB,2,8,142 days,Never,Enabled,Connected (Slave)
esxPOOLAPSP27,Connected,Normal,26%,80%,229341.80 MB,2,8,142 days,Never,Enabled,Connected (Slave)
esxPOOLAPSP28,Connected,Normal,55%,78%,262109.80 MB,2,8,141 days,Never,Enabled,Connected (Slave)
esxPOOLAPSP29,Connected,Normal,71%,64%,229341.80 MB,2,8,141 days,Never,Enabled,Connected (Slave)
esxPOOLAPSP30,Connected,Normal,2%,26%,262109.80 MB,2,8,142 days,Never,Enabled,Connected (Slave)
esxPOOLAPSP31,Connected,Normal,2%,13%,262109.80 MB,2,8,142 days,Never,Enabled,Running (Master)
esxPOOLAPSP32,Connected,Normal,0%,1%,262109.80 MB,2,8,142 days,Never,Enabled,Running (Master)
esxPOOLAPSP33,Connected,Normal,0%,1%,262109.80 MB,2,8,141 days,Never,Enabled,Connected (Slave)
esxnsPS111,Connected,Normal,0%,22%,20469.73 MB,1,4,230 days,Never,Enabled,NULL
esxvhPS111,Connected,Normal,15%,86%,5055.73 MB,2,2,271 days,Never,Enabled,NULL
esxvhgb111,Connected,Normal,6%,51%,98269.78 MB,2,4,142 days,Never,Enabled,Connected (Slave)
esxvhgb112,Connected,Normal,3%,55%,98269.78 MB,2,4,142 days,Never,Enabled,Running (Master)
priesxPS111,Connected,Normal,12%,90%,24565.37 MB,2,4,425 days,Never,Enabled,NULL
sOLEvmPS111,Connected,Normal,26%,70%,67573.73 MB,1,6,676 days,Never,Enabled,NULL
NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL